,description,Accuracy,Wrong disadvantage,Recall,sensitivity,specificity,piatetsky_shapiro,WRAcc_score,WRAcc_score_optimistic,demographic_parity_difference,equalized_odds_difference,demographic_parity_subgroup,equalized_odds_subgroup,true_positive_subgroup,false_positive_subgroup,weighted_dpd_subgroup,weighted_eod_subgroup,weighted_tp_subgroup,weighted_fp_subgroup
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Duration': '>=15.5', 'Housing': 'own'}",0.8671,0.0,1.0,0.1957,0.93,26.4,0.0264,35.6373,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0313,0.015,-0.015,-0.0085
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Purpose': 'radio/TV'}",0.9694,0.0,1.0,0.1357,0.99,26.4,0.0264,27.6276,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0194,0.0104,-0.0104,-0.0012
0,"{'Checking account': 'unknown', 'Housing': 'own', 'Purpose': 'radio/TV'}",0.9444,0.0,1.0,0.1457,0.98,26.4,0.0264,28.9,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0214,0.0112,-0.0112,-0.0024
0,"{'Duration': '<15.5', 'Job': 2}",0.7992,0.0249,0.9689,0.2943,0.83,26.1,0.0261,49.5362,0.0979,0.1677,0.1509,0.2916,-0.0786,-0.2916,0.0388,0.0163,-0.0162,-0.0149
0,"{'Age': '>=25.5', 'Credit amount': '<3913.5', 'Duration': '<15.5', 'Housing': 'own', 'Job': 2}",0.8783,0.0042,0.9952,0.18,0.9433,25.9,0.0259,33.3063,0.02,0.04,0.1928,0.3936,-0.105,-0.3936,0.0276,0.0132,-0.0132,-0.0067
0,"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Housing': 'own', 'Saving accounts': 'little'}",0.9106,0.0,1.0,0.16,0.9633,25.9,0.0259,30.5951,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0244,0.0123,-0.0123,-0.0045
0,"{'Age': '>=25.5', 'Credit amount': '<3913.5', 'Housing': 'own', 'Purpose': 'radio/TV'}",0.8603,0.0269,0.9689,0.1929,0.93,25.8,0.0258,35.0481,0.0927,0.26,0.1497,0.2434,-0.0786,-0.2434,0.0234,0.0106,-0.0106,-0.0051
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Duration': '<15.5', 'Job': 2}",0.9688,0.0,1.0,0.1329,0.99,25.8,0.0258,27.0281,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.019,0.0102,-0.0102,-0.0012
0,"{'Credit amount': '<3913.5', 'Duration': '<15.5', 'Housing': 'own', 'Job': 2}",0.85,0.0068,0.9919,0.2129,0.91,25.8,0.0258,37.8426,0.0536,0.18,0.1814,0.3387,-0.1017,-0.3387,0.0319,0.0151,-0.0151,-0.0091
0,"{'Age': '>=25.5', 'Duration': '<15.5', 'Housing': 'own', 'Job': 2}",0.8765,0.004,0.9954,0.1857,0.9367,25.7,0.0257,34.0268,0.0419,0.1714,0.1863,0.3422,-0.1051,-0.3422,0.0278,0.0137,-0.0137,-0.0065
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Housing': 'own', 'Saving accounts': 'little'}",0.9286,0.0,1.0,0.1486,0.9733,25.6,0.0256,28.9714,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0222,0.0114,-0.0114,-0.0032
0,"{'Housing': 'own', 'Job': 2}",0.7889,0.0615,0.9187,0.4886,0.6333,25.6,0.0256,77.631,0.0645,0.0982,0.0431,0.0328,-0.0284,-0.0199,0.0195,0.0097,-0.0097,-0.0022
0,"{'Duration': '<15.5', 'Housing': 'own', 'Job': 2}",0.8495,0.0066,0.9922,0.2186,0.9033,25.6,0.0256,38.5863,0.0678,0.2333,0.1764,0.3088,-0.1019,-0.3088,0.0321,0.0156,-0.0156,-0.009
0,"{'Credit amount': '<3913.5', 'Housing': 'own', 'Purpose': 'radio/TV'}",0.8302,0.0354,0.9575,0.2286,0.8933,25.6,0.0256,40.0,0.15,0.3582,0.1307,0.2116,-0.0672,-0.2116,0.0251,0.0108,-0.0108,-0.0068
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Duration': '<15.5', 'Job': 2}",0.978,0.0,1.0,0.1271,0.9933,25.3,0.0253,26.1132,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0181,0.0098,-0.0098,-0.0008
0,"{'Credit amount': '<3913.5', 'Purpose': 'radio/TV'}",0.8167,0.0392,0.9513,0.2757,0.8433,25.0,0.025,46.5613,0.1461,0.2979,0.1076,0.1415,-0.061,-0.1415,0.0258,0.0118,-0.0118,-0.0067
0,"{'Checking account': 'unknown', 'Job': 2, 'Purpose': 'radio/TV'}",0.9495,0.0,1.0,0.1343,0.9833,24.7,0.0247,26.7758,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0196,0.0103,-0.0103,-0.002
0,"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Housing': 'own', 'Purpose': 'radio/TV'}",0.9574,0.0,1.0,0.1286,0.9867,24.2,0.0242,25.8511,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0186,0.0099,-0.0099,-0.0016
0,"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Duration': '>=15.5'}",0.8846,0.0,1.0,0.1643,0.95,24.0,0.024,30.5192,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0258,0.0126,-0.0126,-0.0061
0,"{'Credit amount': '<3913.5', 'Job': 2}",0.7685,0.0513,0.9315,0.5171,0.5967,23.9,0.0239,81.3938,0.1382,0.2057,0.0767,0.1243,-0.0412,-0.1243,0.037,0.0162,-0.0149,-0.015
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Housing': 'own', 'Purpose': 'radio/TV'}",0.9479,0.0,1.0,0.13,0.9833,23.8,0.0238,25.8781,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.019,0.01,-0.01,-0.002
