quality,subgroup,size_sg,size_dataset,positives_sg,positives_dataset,size_complement,relative_size_sg,relative_size_complement,coverage_sg,coverage_complement,target_share_sg,target_share_complement,target_share_dataset,lift
0.026400000000000003,Checking account=='unknown' AND Housing=='own' AND Purpose=='radio/TV',108,1000,102,700,892,0.108,0.892,0.1457142857142857,0.8542857142857143,0.9444444444444444,0.6704035874439462,0.7,1.3492063492063493
0.02620000000000001,Checking account=='unknown' AND Purpose=='car',134,1000,120,700,866,0.134,0.866,0.17142857142857143,0.8285714285714286,0.8955223880597015,0.6697459584295612,0.7,1.279317697228145
0.026100000000000022,Duration=='<15.5' AND Job==2,257,1000,206,700,743,0.257,0.743,0.29428571428571426,0.7057142857142857,0.8015564202334631,0.6648721399730821,0.7,1.1450806003335188
0.025600000000000015,Credit amount=='<3913.5' AND Housing=='own' AND Purpose=='radio/TV',192,1000,160,700,808,0.192,0.808,0.22857142857142856,0.7714285714285715,0.8333333333333334,0.6683168316831684,0.7,1.1904761904761907
0.025600000000000008,Duration=='<15.5' AND Housing=='own' AND Job==2,182,1000,153,700,818,0.182,0.818,0.21857142857142858,0.7814285714285715,0.8406593406593407,0.6687041564792175,0.7,1.2009419152276295
0.025600000000000005,Age=='>=25.5' AND Checking account=='unknown' AND Purpose=='car',122,1000,111,700,878,0.122,0.878,0.15857142857142856,0.8414285714285714,0.9098360655737705,0.6708428246013668,0.7,1.2997658079625294
0.0256,Housing=='own' AND Job==2,452,1000,342,700,548,0.452,0.548,0.48857142857142855,0.5114285714285715,0.7566371681415929,0.6532846715328468,0.7,1.0809102402022757
0.025000000000000015,Credit amount=='<3913.5' AND Purpose=='radio/TV',240,1000,193,700,760,0.24,0.76,0.2757142857142857,0.7242857142857143,0.8041666666666667,0.6671052631578948,0.7,1.148809523809524
0.024700000000000007,Checking account=='unknown' AND Job==2 AND Purpose=='radio/TV',99,1000,94,700,901,0.099,0.901,0.13428571428571429,0.8657142857142858,0.9494949494949495,0.6725860155382908,0.7,1.3564213564213565
0.024,Checking account=='unknown' AND Credit amount=='<3913.5' AND Duration=='>=15.5',130,1000,115,700,870,0.13,0.87,0.16428571428571428,0.8357142857142857,0.8846153846153846,0.6724137931034483,0.7,1.2637362637362637
0.023900000000000043,Credit amount=='<3913.5' AND Job==2,483,1000,362,700,517,0.483,0.517,0.5171428571428571,0.4828571428571429,0.7494824016563147,0.6537717601547389,0.7,1.070689145223307
0.023600000000000017,Age=='>=25.5' AND Housing=='own' AND Purpose=='radio/TV',182,1000,151,700,818,0.182,0.818,0.21571428571428572,0.7842857142857143,0.8296703296703297,0.6711491442542787,0.7,1.185243328100471
0.023000000000000048,Age=='>=25.5',810,1000,590,700,190,0.81,0.19,0.8428571428571429,0.15714285714285714,0.7283950617283951,0.5789473684210527,0.7,1.0405643738977073
