,description,Accuracy,Wrong disadvantage,Recall,sensitivity,specificity,piatetsky_shapiro,WRAcc_score,WRAcc_score_optimistic,demographic_parity_difference,equalized_odds_difference,demographic_parity_subgroup,equalized_odds_subgroup,true_positive_subgroup,false_positive_subgroup,weighted_dpd_subgroup,weighted_eod_subgroup,weighted_tp_subgroup,weighted_fp_subgroup
0,"{'Checking account': 'moderate', 'Credit amount': '>=3913.5', 'Housing': 'own'}",0.6679,0.175,0.65,0.04,0.9067,-11.2,-0.0112,4.2,0.3,0.375,0.3195,0.2861,0.2403,0.2804,0.0179,0.008,0.0067,0.0079
0,"{'Age': '<25.5', 'Duration': '>=15.5', 'Housing': 'own'}",0.7517,0.1448,0.72,0.0429,0.9067,-10.6,-0.0106,4.6552,0.0834,0.1122,0.3257,0.3804,0.1703,0.3804,0.0189,0.0107,0.0051,0.0107
0,"{'Age': '<25.5', 'Credit amount': '<3913.5', 'Job': 2}",0.6495,0.1229,0.797,0.0943,0.8567,-10.3,-0.0103,11.989,0.2364,0.3019,0.0915,0.0933,0.0933,0.0179,0.01,0.0062,0.0062,0.0008
0,"{'Age': '<25.5', 'Credit amount': '>=3913.5', 'Duration': '>=15.5'}",0.7278,0.1889,0.5467,0.0214,0.93,-10.2,-0.0102,1.875,0.1214,0.2345,0.4905,0.4518,0.3436,0.4518,0.0177,0.0095,0.0052,0.0095
0,"{'Age': '<25.5', 'Credit amount': '>=3913.5'}",0.705,0.195,0.5667,0.0257,0.9267,-10.0,-0.01,2.43,0.1549,0.1691,0.4466,0.4128,0.3236,0.4128,0.0179,0.0091,0.0058,0.0091
0,"{'Checking account': 'little', 'Credit amount': '>=3913.5', 'Purpose': 'business'}",0.5938,0.3562,0.1231,0.0186,0.9367,-9.4,-0.0094,1.5844,0.1185,0.1591,0.7016,0.7672,0.7672,0.5105,0.0225,0.0104,0.01,0.0097
0,"{'Credit amount': '>=3913.5', 'Purpose': 'business'}",0.7062,0.1752,0.7171,0.1,0.8567,-9.1,-0.0091,13.0088,0.0916,0.1032,0.2388,0.283,0.1731,0.283,0.027,0.0131,0.0121,0.0122
0,"{'Age': '>=25.5', 'Credit amount': '>=3913.5', 'Housing': 'own'}",0.7083,0.1319,0.7935,0.1314,0.8267,-8.8,-0.0088,17.6333,0.1194,0.2114,0.1349,0.1524,0.0968,0.1524,0.0194,0.0094,0.0089,0.0079
0,"{'Checking account': 'moderate', 'Housing': 'free'}",0.5792,0.1042,0.8,0.0357,0.9233,-8.6,-0.0086,3.9063,0.0667,0.2278,0.0683,0.1077,0.0903,-0.0662,0.0033,0.0026,0.0023,-0.0015
0,"{'Checking account': 'moderate', 'Housing': 'own'}",0.7156,0.0594,0.9095,0.18,0.78,-8.4,-0.0084,24.8063,0.1232,0.1356,0.0203,0.0599,-0.0192,-0.0599,0.0039,0.0041,-0.0024,-0.004
0,"{'Checking account': 'little', 'Purpose': 'car'}",0.5944,0.2556,0.5619,0.06,0.9,-8.4,-0.0084,7.35,0.2417,0.5143,0.3238,0.3284,0.3284,0.2347,0.0233,0.0138,0.0138,0.007
0,"{'Duration': '>=15.5', 'Housing': 'own'}",0.7298,0.1048,0.8458,0.3871,0.5733,-8.3,-0.0083,55.2188,0.1161,0.1243,0.0618,0.0801,0.0445,0.079,0.0246,0.013,0.0121,0.0101
0,"{'Credit amount': '>=3913.5', 'Duration': '>=15.5', 'Purpose': 'business'}",0.686,0.1978,0.6772,0.0814,0.88,-8.1,-0.0081,10.4806,0.1544,0.2236,0.2704,0.2947,0.2131,0.2947,0.0251,0.0126,0.0121,0.0106
0,"{'Checking account': 'moderate', 'Duration': '>=15.5', 'Purpose': 'business'}",0.664,0.184,0.6593,0.0386,0.9233,-8.0,-0.008,4.374,0.3067,0.2765,0.2936,0.265,0.231,0.2642,0.0147,0.0065,0.0062,0.0061
0,"{'Credit amount': '>=3913.5', 'Purpose': 'car', 'Saving accounts': 'little'}",0.5037,0.2815,0.3091,0.0157,0.9467,-7.9,-0.0079,1.3444,0.1556,0.2333,0.4609,0.5812,0.5812,0.2322,0.0124,0.0064,0.0064,0.0037
0,"{'Checking account': 'moderate', 'Credit amount': '<3913.5', 'Purpose': 'business'}",0.6087,0.0174,0.968,0.0357,0.93,-7.2,-0.0072,4.0761,0.1823,0.2273,0.0984,0.2244,-0.0777,-0.2244,0.0045,0.0047,-0.0019,-0.0047
0,"{'Credit amount': '>=3913.5', 'Purpose': 'car'}",0.605,0.205,0.6095,0.03,0.9367,-7.0,-0.007,3.3075,0.0707,0.153,0.2916,0.2808,0.2808,0.1947,0.0117,0.0059,0.0059,0.0037
0,"{'Age': '<25.5', 'Checking account': 'moderate', 'Credit amount': '>=3913.5'}",0.7857,0.1286,0.4,0.0043,0.9633,-6.8,-0.0068,0.1929,0.0,0.4,0.6302,0.5254,0.4903,0.4856,0.0088,0.0053,0.0015,0.0053
0,"{'Checking account': 'moderate', 'Credit amount': '<3913.5', 'Duration': '>=15.5'}",0.6444,0.037,0.94,0.0714,0.8967,-6.7,-0.0067,9.2593,0.1908,0.2974,0.0972,0.2376,-0.0497,-0.2376,0.0079,0.0074,-0.0025,-0.0074
0,"{'Checking account': 'little', 'Credit amount': '<3913.5', 'Purpose': 'radio/TV'}",0.6542,0.1625,0.7111,0.0386,0.93,-6.6,-0.0066,4.5562,0.4711,0.5158,0.2183,0.1943,0.1792,0.1756,0.0105,0.0048,0.0048,0.0037
0,"{'Age': '<25.5', 'Checking account': 'moderate', 'Credit amount': '<3913.5'}",0.6042,0.0542,0.9037,0.0386,0.93,-6.6,-0.0066,4.5562,0.1294,0.2273,0.0509,0.1863,-0.0134,-0.1863,0.0024,0.0039,-0.0004,-0.0039
