Unnamed: 0,description,Accuracy,Wrong disadvantage,Recall,sensitivity,specificity,piatetsky_shapiro,WRAcc_score,WRAcc_score_optimistic,demographic_parity_difference,equalized_odds_difference,demographic_parity_subgroup,equalized_odds_subgroup,true_positive_subgroup,false_positive_subgroup,weighted_dpd_subgroup,weighted_eod_subgroup,weighted_tp_subgroup,weighted_fp_subgroup
0,"{'Checking account': 'unknown', 'Duration': '>=15.5', 'Saving accounts': 'quite rich'}",0.85,0.0,1.0,0.0243,0.99,3.0,0.003,4.335,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.004,0.0019,-0.0019,-0.0012
0,"{'Checking account': 'unknown', 'Duration': '>=15.5', 'Purpose': 'car'}",0.8077,0.0,1.0,0.03,0.9833,2.8,0.0028,5.0885,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0052,0.0023,-0.0023,-0.002
0,"{'Checking account': 'unknown', 'Duration': '>=15.5', 'Saving accounts': 'rich'}",0.8421,0.0,1.0,0.0229,0.99,2.7,0.0027,4.0421,0.0,1.0,0.1984,0.4053,-0.1097,-0.4053,0.0038,0.0018,-0.0018,-0.0012
0,"{'Credit amount': '<3913.5', 'Job': 1, 'Purpose': 'radio/TV'}",0.7368,0.1263,0.85,0.0229,0.99,2.7,0.0027,4.0421,0.3,0.8667,0.1094,0.2935,0.0403,-0.272,0.0021,0.0017,0.0006,-0.0008
0,"{'Duration': '<15.5', 'Saving accounts': 'moderate'}",0.8182,0.0,1.0,0.0257,0.9867,2.6,0.0026,4.4182,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0044,0.002,-0.002,-0.0016
0,"{'Credit amount': '<3913.5', 'Duration': '<15.5', 'Saving accounts': 'moderate'}",0.8182,0.0,1.0,0.0257,0.9867,2.6,0.0026,4.4182,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0044,0.002,-0.002,-0.0016
0,"{'Age': '<25.5', 'Duration': '>=15.5', 'Saving accounts': 'unknown'}",0.7333,0.1867,0.7846,0.0186,0.9933,2.5,0.0025,3.38,0.1821,0.8238,0.0456,0.1631,0.1057,-0.0053,0.0007,0.0014,0.0014,-0.0
0,"{'Duration': '>=15.5', 'Purpose': 'radio/TV'}",0.7797,0.0676,0.9057,0.1514,0.86,2.4,0.0024,22.7757,0.1932,0.2482,0.0293,0.0677,-0.0154,0.0566,0.0043,0.0041,-0.0016,0.0024
0,"{'Age': '>=25.5', 'Duration': '>=15.5', 'Housing': 'own'}",0.7261,0.0979,0.8614,0.3443,0.6667,2.3,0.0023,51.0977,0.0737,0.0925,0.0222,0.0613,0.0289,-0.0053,0.0076,0.0076,0.007,-0.0005
0,"{'Purpose': 'car', 'Saving accounts': 'unknown'}",0.781,0.0286,0.9647,0.0243,0.9867,2.3,0.0023,4.1286,0.0857,0.12,0.1698,0.4053,-0.0744,-0.4053,0.0036,0.0017,-0.0013,-0.0016
